model_name,brand,processor_name,ram(GB),ssd(GB),Hard Disk(GB),Operating System,graphics,screen_size(inches),resolution (pixels),no_of_cores,no_of_threads,spec_score,price,gpu_brand,gpu_type,gpu_vram,gpu_series,cpu_brand,cpu_family,cpu_generation,cpu_series
Asus TUF Gaming F15 FX506LHB-HN358W Gaming Laptop,Asus,10th Gen Core i5,8,512,0,Windows,4 GB NVIDIA GTX 1650,15.6,1920 x 1080,4,8,63,54990,NVIDIA,Dedicated,4,GTX,INTEL,CORE I5,10,OTHER
MSI Stealth 17M A12UE Gaming Laptop,MSI,12th Gen Core i7,16,1000,0,Windows,6 GB NVIDIA RTX 3060,17.3,1920 x 1080,14,20,73,149990,NVIDIA,Dedicated,6,RTX,INTEL,CORE I7,12,OTHER
MSI Modern 15 A5M-055IN Laptop,MSI,Ryzen 5 5500U,8,512,0,Windows,AMD RADEON,15.6,1920 x 1080,6,12,57,57990,AMD,Integrated,0,OTHER,AMD,RYZEN 5,5000,U
Lenovo Thinkpad E14 Gen 2 20TAS0E800 Laptop,Lenovo,11th Gen Core i5,16,512,0,Windows,INTEL IRIS XE,14.0,1080 x 1920,4,8,67,77500,INTEL,Integrated,0,IRIS XE,INTEL,CORE I5,11,OTHER
Dell Vostro 3420 D552278WIN9S Laptop,Dell,11th Gen Core i3,8,512,0,Windows,INTEL INTEGRATED,14.0,1920 x 1080,2,4,57,47000,INTEL,Integrated,0,OTHER,INTEL,CORE I3,11,OTHER
Lenovo ‎ThinkPad E14 Gen 4 Laptop,Lenovo,12th Gen Core i5,8,512,0,Windows,INTEL IRIS XE,14.0,1920 x 1080,10,12,57,74500,INTEL,Integrated,0,IRIS XE,INTEL,CORE I5,12,OTHER
Dell Alienware X17 R1 D569936WIN9 Gaming Laptop,Dell,11th Gen Core i9,32,1000,0,Windows,16 GB NVIDIA RTX 3080,17.3,1920 x 1080,8,16,79,312199,NVIDIA,Dedicated,16,RTX,INTEL,CORE I9,11,OTHER
Lenovo V15 82KBA02UIH Laptop,Lenovo,11th Gen Core i3,8,256,0,Windows,INTEL INTEGRATED UHD,15.6,1920 x 1080,2,4,53,36990,INTEL,Integrated,0,UHD,INTEL,CORE I3,11,OTHER
Lenovo Thinkpad P15v 21D8S00V00 Laptop,Lenovo,12th Gen Core i7,32,1000,0,Windows,4 GB NVIDIA QUADRO T1200,15.6,1920 x 1080,14,20,76,190400,NVIDIA,Dedicated,4,OTHER,INTEL,CORE I7,12,OTHER
Microsoft Surface Laptop 5 ‎RBG-00048 13.5 inch,Microsoft,12th Gen Core i7,8,256,0,Windows,INTEL IRIS XE,13.5,2256 x 1504,10,12,57,178999,INTEL,Integrated,0,IRIS XE,INTEL,CORE I7,12,OTHER
Microsoft Surface Pro 9 ‎QIL-00031 Laptop,Microsoft,12th Gen Core i7,16,256,0,Windows,INTEL IRIS XE,13.0,2880 x 1920,10,12,56,167999,INTEL,Integrated,0,IRIS XE,INTEL,CORE I7,12,OTHER
Microsoft Surface Pro 9 ‎‎QIX-00031 Laptop,Microsoft,12th Gen Core i7,16,512,0,Windows,INTEL IRIS XE,13.0,2880 x 1920,10,12,54,192990,INTEL,Integrated,0,IRIS XE,INTEL,CORE I7,12,OTHER
Microsoft Surface Laptop 5 ‎RIP-00048 15 inch,Microsoft,12th Gen Core i7,16,512,0,Windows,INTEL IRIS XE,15.0,2496 x 1664,10,12,63,182990,INTEL,Integrated,0,IRIS XE,INTEL,CORE I7,12,OTHER
Dell Inspiron 14 5415 Laptop,Dell,Ryzen 5 5500U,8,512,0,Windows,AMD RADEON AMD,14.0,1920 x 1080,6,12,61,55999,AMD,Integrated,0,OTHER,AMD,RYZEN 5,5000,U
Lenovo Legion 5 Pro 82RF00E1IN Gaming Laptop,Lenovo,12th Gen Core i7,32,1000,0,Windows,8 GB NVIDIA RTX 3070TI,16.0,2560 x 1600,14,20,91,218000,NVIDIA,Dedicated,8,RTX,INTEL,CORE I7,12,OTHER
Lenovo Ideapad Slim 3 81WE01QSIN Laptop,Lenovo,10th Gen Core i3,4,256,0,Windows,INTEL INTEGRATED UHD,15.6,1920 x 1080,2,4,50,29990,INTEL,Integrated,0,UHD,INTEL,CORE I3,10,OTHER
Acer Aspire 3 A315-58 Laptop,Acer,11th Gen Core i5,12,512,0,Windows,INTEL IRIS XE,15.6,1920 x 1080,4,8,60,49312,INTEL,Integrated,0,IRIS XE,INTEL,CORE I5,11,OTHER
Asus E410 Eeebook E410KA-BV003W Laptop,Asus,Celeron N4500,4,256,0,Windows,INTEL UHD,14.0,1920 x 1080,2,2,45,24415,INTEL,Integrated,0,UHD,INTEL,CELERON,0,OTHER
Asus Vivobook 15 2022 X1502ZA-EJ515WS Laptop,Asus,12th Gen Core i5,8,512,0,Windows,INTEL IRIS XE,15.6,1920 x 1080,10,12,62,56990,INTEL,Integrated,0,IRIS XE,INTEL,CORE I5,12,OTHER
Lenovo Thinkbook 14 20VD011EIH Laptop,Lenovo,11th Gen Core i7,16,512,0,Windows,INTEL IRIS XE,14.0,1920 x 1080,4,8,61,103600,INTEL,Integrated,0,IRIS XE,INTEL,CORE I7,11,OTHER
Acer Swift 3 SF314-43 Laptop,Acer,Ryzen 5 5500U,8,512,0,Windows,AMD RADEON 5500U,14.0,1920 x 1080,6,12,65,61500,AMD,Integrated,0,OTHER,AMD,RYZEN 5,5000,U
Lenovo V15 G2-ITL 82KBA034IH Laptop,Lenovo,11th Gen Core i3,8,512,0,DOS,INTEL INTEGRATED UHD,15.6,1920 x 1080,2,4,47,34499,INTEL,Integrated,0,UHD,INTEL,CORE I3,11,OTHER
Dell XPS 9315 Laptop,Dell,12th Gen Core i7,16,1000,0,Windows,IRIS XE,13.4,1920 x 1080,10,12,53,185800,OTHER,Integrated,0,IRIS XE,INTEL,CORE I7,12,OTHER
Dell Inspiron 5415 Laptop,Dell,Ryzen 7 5700U,16,512,0,Windows,AMD RADEON AMD,14.0,1920 x 1080,8,16,62,89976,AMD,Integrated,0,OTHER,AMD,RYZEN 7,5000,U
HP Victus 16-e0550AX Gaming Laptop,HP,AMD Ryzen 7 5800H,8,512,0,Windows,4 GB AMD RADEON RX 5500M,16.0,1920 x 1080,8,16,68,68990,AMD,Dedicated,4,RX,AMD,RYZEN 7,5000,H
Asus VivoBook 14 X415MA-BV102WS Laptop,Asus,Pentium Silver N5030,8,256,0,Windows,INTEL INTEGRATED UHD,14.1,1366 x 768,4,0,49,27990,INTEL,Integrated,0,UHD,INTEL,PENTIUM,0,OTHER
Asus VivoBook 15 2022 X515JA-EJ592WS Laptop,Asus,10th Gen Core i5,8,512,0,Windows,INTEL INTEGRATED UHD,15.6,1920 x 1080,4,8,59,44990,INTEL,Integrated,0,UHD,INTEL,CORE I5,10,OTHER
Dell Inspiron 3520 Laptop,Dell,12th Gen Core i5,8,512,0,Windows,2 GBNVIDIA MX550,15.6,1920 x 1080,10,12,61,66111,NVIDIA,Dedicated,2,MX,INTEL,CORE I5,12,OTHER
Dell G15-5520 D560895WIN9S Laptop,Dell,12th Gen Core i7,16,512,0,Windows,6 GB NVIDIA RTX 3060,15.6,1920 x 1080,10,16,80,124400,NVIDIA,Dedicated,6,RTX,INTEL,CORE I7,12,OTHER
Acer One 14 Z2-493 UN.431SI.129 Laptop,Acer,AMD Ryzen 3 3250U,8,0,1000,Windows,AMD RADEON RADEON,14.0,1366 x 768,2,4,51,39999,AMD,Integrated,0,OTHER,AMD,RYZEN 3,3000,U
HP 15s-fq2670TU Laptop,HP,11th Gen Core i3,8,256,0,Windows,INTEL INTEGRATED,15.6,1920 x 1080,2,4,54,37490,INTEL,Integrated,0,OTHER,INTEL,CORE I3,11,OTHER
Asus VivoBook 15 X515JA-EJ392WS Laptop,Asus,10th Gen Core i3,8,512,0,Windows,INTEL INTEGRATED UHD,15.6,1920 x 1080,2,4,56,34490,INTEL,Integrated,0,UHD,INTEL,CORE I3,10,OTHER
Lenovo IdeaPad Slim 3 82RK007JIN Laptop,Lenovo,12th Gen Core i3,8,512,0,Windows,INTEL UHD,15.6,1920 x 1080,6,8,57,45500,INTEL,Integrated,0,UHD,INTEL,CORE I3,12,OTHER
Dell Latitude 7420 Laptop,Dell,11th Gen Core i7,16,512,0,Windows,INTEL IRIS XE,14.0,1920 x 1080,4,8,57,112500,INTEL,Integrated,0,IRIS XE,INTEL,CORE I7,11,OTHER
HP ProBook 445 G7 Laptop,HP,AMD Ryzen 5 4500U,8,512,0,Windows,AMD RADEON,14.0,1920 x 1080,6,6,68,49999,AMD,Integrated,0,OTHER,AMD,RYZEN 5,4000,U
Lenovo V15 82C3002VGE Laptop,Lenovo,Celeron N4020,4,256,0,Windows,INTEL INTEGRATED UHD,15.6,1920 x 1080,2,2,51,23999,INTEL,Integrated,0,UHD,INTEL,CELERON,0,OTHER
Dell Vostro 3425 D552267WIN9S Laptop,Dell,AMD Ryzen 5 5625U,16,512,0,Windows,AMD RADEON,14.0,1920 x 1080,6,12,63,60990,AMD,Integrated,0,OTHER,AMD,RYZEN 5,5000,U
Dell G15-5525 Gaming Laptop,Dell,Ryzen 9-6900HX,16,1000,0,Windows,6 GB NVIDIA RTX 3060,15.6,1920 x 1080,8,16,76,147100,NVIDIA,Dedicated,6,RTX,AMD,RYZEN 9,6000,HX
Dell G15-5525 D560894WIN9S Gaming Laptop,Dell,Ryzen 7 6800H,16,512,0,Windows,6 GB NVIDIA RTX 3060,15.6,1920 x 1080,8,16,78,128200,NVIDIA,Dedicated,6,RTX,AMD,RYZEN 7,6000,H
Dell G15-5525 D560898WIN9S Gaming Laptop,Dell,Ryzen 7 6800H,16,1000,0,Windows,6 GB NVIDIA RTX 3070 TI,15.6,1920 x 1080,8,16,76,159200,NVIDIA,Dedicated,6,RTX,AMD,RYZEN 7,6000,H
Dell G15-5521 D560899WIN9S Gaming Laptop,Dell,12th Gen Core i9,16,1000,0,Windows,8 GB NVIDIA RTX 3070 TI,15.6,2560 x 1440,14,20,72,181799,NVIDIA,Dedicated,8,RTX,INTEL,CORE I9,12,OTHER
Dell Inspiron 7620 Laptop,Dell,12th Gen Core i7,16,512,0,Windows,2 GBNVIDIA MX550,14.5,2560 x 1440,12,16,62,126990,NVIDIA,Dedicated,2,MX,INTEL,CORE I7,12,OTHER
Acer Aspire 5 A515-57 Gaming Laptop,Acer,12th Gen Core i3,8,512,0,Windows,INTEL INTEGRATED,15.6,1920 x 1080,6,8,54,47990,INTEL,Integrated,0,OTHER,INTEL,CORE I3,12,OTHER
Acer Aspire 3 A315-58 NX.ADDSI.011 Laptop,Acer,11th Gen Core i3,8,512,0,Windows,INTEL INTEGRATED UHD,15.6,1920 x 1080,2,4,51,37990,INTEL,Integrated,0,UHD,INTEL,CORE I3,11,OTHER
Lenovo IdeaPad Slim 5 82SE005SIN Laptop,Lenovo,AMD Ryzen 5 5625U,16,512,0,Windows,AMD RADEON,15.6,1920 x 1080,6,12,65,59990,AMD,Integrated,0,OTHER,AMD,RYZEN 5,5000,U
Asus TUF Gaming A15 FA506IHRZ-HN112W Laptop,Asus,AMD Ryzen 5 4600H,8,1000,0,Windows,4 GB NVIDIA GTX 1650,15.6,1920 x 1080,6,12,68,65990,NVIDIA,Dedicated,4,GTX,AMD,RYZEN 5,4000,H
Asus Vivobook 14 OLED X1405ZA-KM511WS Laptop,Asus,12th Gen Core i5,16,512,0,Windows,INTEL IRIS XE,14.0,2880 x 1800,10,12,61,69990,INTEL,Integrated,0,IRIS XE,INTEL,CORE I5,12,OTHER
Lenovo ThinkPad X1 Carbon 21CB002JIG Laptop,Lenovo,12th Gen Core i7,16,1000,0,Windows,INTEL IRIS XE,14.0,1920 x 1200,10,12,59,211990,INTEL,Integrated,0,IRIS XE,INTEL,CORE I7,12,OTHER
Asus Vivobook 14 OLED X1405ZA-KM311WS Laptop,Asus,12th Gen Core i3,8,512,0,Windows,INTEL IRIS XE,14.0,2880 x 1800,6,8,56,51990,INTEL,Integrated,0,IRIS XE,INTEL,CORE I3,12,OTHER
Dell Alienware M15 R6 Gaming Laptop,Dell,11th Gen Core i7,16,512,0,Windows,6 GB NVIDIA RTX 3060,15.6,1920 x 1080,8,16,79,200000,NVIDIA,Dedicated,6,RTX,INTEL,CORE I7,11,OTHER
Lenovo IdeaPad Gaming 3 82K101E1IN Laptop,Lenovo,11th Gen Core i5,8,256,1000,Windows,4 GB NVIDIA GTX 1650,15.6,1920 x 1080,4,8,62,54950,NVIDIA,Dedicated,4,GTX,INTEL,CORE I5,11,OTHER
Asus Vivobook 15 OLED X1505ZA-L1311WS Laptop,Asus,12th Gen Core i3,8,512,0,Windows,INTEL INTEGRATED UHD,15.6,1920 x 1080,6,8,56,50500,INTEL,Integrated,0,UHD,INTEL,CORE I3,12,OTHER
Asus ROG Strix G17 2022 G713RS-LL023WS Gaming Laptop,Asus,AMD Ryzen 9 6900HX,16,1000,0,Windows,8 GB NVIDIA RTX 3070 TI,17.3,2560 x 1440,8,16,78,210990,NVIDIA,Dedicated,8,RTX,AMD,RYZEN 9,6000,HX
Lenovo V15 82C500XHIH Laptop,Lenovo,10th Gen Core i5,8,512,0,Windows,INTEL UHD,15.6,1920 x 1080,4,8,53,47115,INTEL,Integrated,0,UHD,INTEL,CORE I5,10,OTHER
Lenovo IdeaPad 3 15IAU7 82RK0090IN Laptop,Lenovo,12th Gen Core i5,16,512,0,Windows,INTEL IRIS XE,15.6,2880 x 1800,10,12,60,63590,INTEL,Integrated,0,IRIS XE,INTEL,CORE I5,12,OTHER
Lenovo Thinkpad L14 20X1CTO Laptop,Lenovo,11th Gen Core i5,16,512,0,Windows,INTEL IRIS XE,14.0,1920 x 1080,4,8,67,79500,INTEL,Integrated,0,IRIS XE,INTEL,CORE I5,11,OTHER
AGB Octev VR-1818 Gaming Laptop,AGB,11th Gen Core i7,32,1000,0,Windows,2 GBNVIDIA MX450,15.6,1920 x 1080,4,8,66,70000,NVIDIA,Dedicated,2,MX,INTEL,CORE I7,11,OTHER
Infinix INBook X2 Plus XL25 Laptop,Infinix,11th Gen Core i3,8,512,0,Windows,INTEL INTEGRATED UHD,15.6,1920 x 1080,2,4,47,38990,INTEL,Integrated,0,UHD,INTEL,CORE I3,11,OTHER
Dell XPS 13 Plus Laptop,Dell,12th Gen Core i7,16,1000,0,Windows,INTEL IRIS XE,13.4,3840 x 2400,12,16,74,195190,INTEL,Integrated,0,IRIS XE,INTEL,CORE I7,12,OTHER
Lenovo IdeaPad Slim 3 82RJ005CIN Laptop,Lenovo,12th Gen Core i5,8,512,0,Windows,INTEL IRIS XE,14.0,1920 x 1080,10,12,59,59990,INTEL,Integrated,0,IRIS XE,INTEL,CORE I5,12,OTHER
Asus E410KA-BV002W Laptop,Asus,Celeron N4500,4,256,0,Windows,INTEL UHD,14.0,1920 x 1080,2,2,45,24485,INTEL,Integrated,0,UHD,INTEL,CELERON,0,OTHER
MSI Creator Pro Z17 A12UMST-237IN Gaming Laptop,MSI,12th Gen Core i7,32,1000,0,Windows,16 GB NVIDIA RTX A5500,16.0,2560 x 1600,14,20,94,444990,NVIDIA,Dedicated,16,RTX,INTEL,CORE I7,12,OTHER
Lenovo IdeaPad Flex 5 82R90068IN Laptop,Lenovo,AMD Ryzen 7 5700U,16,512,0,Windows,AMD RADEON,14.0,1920 x 1200,8,16,75,78990,AMD,Integrated,0,OTHER,AMD,RYZEN 7,5000,U
Dell XPS 9315 Laptop,Dell,12th Gen Core i5,16,512,0,Windows,IRIS XE,13.4,1920 x 1080,10,12,50,133500,OTHER,Integrated,0,IRIS XE,INTEL,CORE I5,12,OTHER
Asus Vivobook S15 OLED S3502ZA-L701WS Laptop,Asus,12th Gen Core i7,16,512,0,Windows,INTEL IRIS XE,15.6,1920 x 1080,14,20,73,87500,INTEL,Integrated,0,IRIS XE,INTEL,CORE I7,12,OTHER
Acer Aspire 3 UN.HVTSI.012 Laptop,Acer,AMD Ryzen 3 3250U,8,256,0,Windows,AMD RADEON AMD,15.6,1920 x 1080,2,4,54,29990,AMD,Integrated,0,OTHER,AMD,RYZEN 3,3000,U
MSI Creator Z16P B12UKST-209IN Gaming Laptop,MSI,12th Gen Core i9,64,2000,0,Windows,12 GBNVIDIA RTX A3000,17.3,2560 x 1600,14,20,91,395000,NVIDIA,Dedicated,12,RTX,INTEL,CORE I9,12,OTHER
Lenovo Yoga 6 82UD0069IN Laptop,Lenovo,Ryzen 5 5500U,16,512,0,Windows,AMD RADEON,13.3,1920 x 1080,6,12,69,78990,AMD,Integrated,0,OTHER,AMD,RYZEN 5,5000,U
HP 14s-fq0567AU Laptop,HP,AMD Ryzen 3 3250U,8,256,0,Windows,AMD RADEON AMD,14.0,1920 x 1080,2,4,47,36990,AMD,Integrated,0,OTHER,AMD,RYZEN 3,3000,U
MSI Creator Pro M16 A12UJS-601IN Gaming Laptop,MSI,12th Gen Core i7,32,1000,0,Windows,8 GB NVIDIA RTX A2000,16.0,2560 x 1600,14,20,91,196990,NVIDIA,Dedicated,8,RTX,INTEL,CORE I7,12,OTHER
HP Omen 17-ck1023TX Gaming Laptop,HP,12th Gen Core i9,32,2000,0,Windows,16 GB NVIDIA 3080TI,16.1,2560 x 1440,16,24,85,299999,NVIDIA,Integrated,16,OTHER,INTEL,CORE I9,12,OTHER
HP Omen 16-n0051AX Gaming Laptop,HP,AMD Ryzen 9 6900HX,32,1000,0,Windows,8 GB AMD RADEON RX 6650M,16.1,1920 x 1080,8,16,81,154990,AMD,Dedicated,8,RX,AMD,RYZEN 9,6000,HX
Lenovo ThinkPad E14 21E3S04X00 Laptop,Lenovo,12th Gen Core i5,8,512,0,Windows,INTEL IRIS XE,14.0,1920 x 1080,10,12,66,75000,INTEL,Integrated,0,IRIS XE,INTEL,CORE I5,12,OTHER
HP Omen 16-k0370TX Gaming Laptop,HP,12th Gen Core i7,16,1000,0,Windows,8 GB NVIDIA 3070TI,16.1,1920 x 1080,14,20,85,180880,NVIDIA,Integrated,8,OTHER,INTEL,CORE I7,12,OTHER
HP Omen 16-k0360TX Laptop,HP,12th Gen Core i7,16,1000,0,Windows,6 GB NVIDIA RTX 3060,16.1,1920 x 1080,14,20,82,144480,NVIDIA,Dedicated,6,RTX,INTEL,CORE I7,12,OTHER
Lenovo Thinkbook 15 21DJA04LIH Laptop,Lenovo,12th Gen Core i5,16,512,0,Windows,IRIS XE,15.6,1920 x 1080,10,12,60,61990,OTHER,Integrated,0,IRIS XE,INTEL,CORE I5,12,OTHER
Lenovo IdeaPad Gaming 3 82S900HNIN Laptop,Lenovo,12th Gen Core i5,16,512,0,Windows,4 GB NVIDIA RTX 3050,15.6,1920 x 1080,8,12,73,80990,NVIDIA,Dedicated,4,RTX,INTEL,CORE I5,12,OTHER
HP Omen 16-n0054AX Gaming Laptop,HP,AMD Ryzen 7 6800H,16,1000,0,Windows,6 GB NVIDIA RTX 3060,16.1,1920 x 1080,8,16,74,139680,NVIDIA,Dedicated,6,RTX,AMD,RYZEN 7,6000,H
Lenovo Ideapad Flex 5 82R70068IN Laptop,Lenovo,12th Gen Core i5,8,512,0,Windows,INTEL UHD,14.0,1920 x 1200,10,12,62,75990,INTEL,Integrated,0,UHD,INTEL,CORE I5,12,OTHER
HP Victus 15-fb0082AX Gaming Laptop,HP,AMD Ryzen 5 5600H,8,512,0,Windows,4 GB NVIDIA RTX 3050,15.6,1920 x 1080,6,12,72,71990,NVIDIA,Dedicated,4,RTX,AMD,RYZEN 5,5000,H
Dell XPS 9315 Laptop,Dell,12th Gen Core i7,16,512,0,Windows,IRIS XE,13.4,1920 x 1080,10,12,51,132470,OTHER,Integrated,0,IRIS XE,INTEL,CORE I7,12,OTHER
HP Omen 16-n0049AX Gaming Laptop,HP,AMD Ryzen 7 6800H,16,512,0,Windows,4 GB NVIDIA RTX 3050TI,16.0,1920 x 1080,8,16,66,107690,NVIDIA,Dedicated,4,RTX,AMD,RYZEN 7,6000,H
HP Omen 16-n0050AX Gaming Laptop,HP,AMD Ryzen 7 6800H,16,512,0,Windows,4 GB NVIDIA RTX 3050,16.0,1920 x 1080,8,16,66,99800,NVIDIA,Dedicated,4,RTX,AMD,RYZEN 7,6000,H
Lenovo V14 Gen 2 ITL 82KAA001IH Laptop,Lenovo,11th Gen Core i5,8,0,1000,DOS,INTEL INTEGRATED,14.0,1920 x 1080,4,8,53,49999,INTEL,Integrated,0,OTHER,INTEL,CORE I5,11,OTHER
Lenovo V15 82C30057IH Laptop,Lenovo,Intel Celeron N4020,4,0,1000,Windows,INTEL INTEGRATED UHD,15.6,1920 x 1080,2,2,48,29999,INTEL,Integrated,0,UHD,INTEL,CELERON,0,OTHER
Lenovo IdeaPad Gaming 3 82K201V2IN Laptop,Lenovo,AMD Ryzen 7 5800H,8,512,0,Windows,4 GB NVIDIA RTX 3050,15.6,1920 x 1080,8,16,74,76990,NVIDIA,Dedicated,4,RTX,AMD,RYZEN 7,5000,H
Lenovo ThinkPad E14 21E3S04W00 Laptop,Lenovo,12th Gen Core i5,16,512,0,Windows,INTEL IRIS XE,14.0,1920 x 1080,10,12,57,74490,INTEL,Integrated,0,IRIS XE,INTEL,CORE I5,12,OTHER
Lenovo Thinkpad E14 Gen 21E3S05800 Laptop,Lenovo,12th Gen Core i7,16,1000,0,Windows,INTEL IRIS XE,14.0,1920 x 1080,10,12,66,102490,INTEL,Integrated,0,IRIS XE,INTEL,CORE I7,12,OTHER
Lenovo Yoga 9 82LU008TIN Laptop,Lenovo,12th Ge Core i7,16,1000,0,Windows,INTEL IRIS XE,14.0,3840 x 2160,14,20,69,179990,INTEL,Integrated,0,IRIS XE,INTEL,CORE I7,0,OTHER
Dell Vostro 3510 2022 Laptop,Dell,11th Gen Core i3,16,256,1000,Windows,INTEL UHD,15.6,1920 x 1080,2,4,56,49850,INTEL,Integrated,0,UHD,INTEL,CORE I3,11,OTHER
Acer One 14 Z2-493 Business Laptop,Acer,AMD Ryzen 5 3500U,16,512,0,Windows,AMD RADEON RADEON,14.0,1366 x 768,4,8,59,39990,AMD,Integrated,0,OTHER,AMD,RYZEN 5,3000,U
Fujitsu UH-X 4ZR1K06212 Laptop,Fujitsu,12th Gen Core i7,16,512,0,Windows,INTEL IRIS XE,13.3,1920 x 1080,10,12,68,99990,INTEL,Integrated,0,IRIS XE,INTEL,CORE I7,12,OTHER
HP Envy x360 13-bf0062TU Laptop,HP,12th Gen Core i7,16,512,0,Windows,INTEL IRIS XE,13.3,2880 x 1800,10,12,68,104990,INTEL,Integrated,0,IRIS XE,INTEL,CORE I7,12,OTHER
Gigabyte G5 RC45MD Laptop,Gigabyte,11th Gen Core i5,16,512,0,Windows,4 GB NVIDIA RTX 3050 TI,15.6,1920 x 1080,6,12,71,76600,NVIDIA,Dedicated,4,RTX,INTEL,CORE I5,11,OTHER
Gigabyte G5 RC45GD Laptop,Gigabyte,11th Gen Core i5,16,512,0,Windows,4 GB NVIDIA RTX 3050,15.6,1920 x 1080,6,12,71,73990,NVIDIA,Dedicated,4,RTX,INTEL,CORE I5,11,OTHER
Gigabyte G5 RC45KD Laptop,Gigabyte,11th Gen Core i5,16,512,0,Windows,6 GB NVIDIA RTX 3060,15.6,1920 x 1080,6,12,72,87800,NVIDIA,Dedicated,6,RTX,INTEL,CORE I5,11,OTHER
MSI Katana GF66 11UE-249IN Gaming Laptop,MSI,11th Gen Core i7,16,512,0,Windows,6 GB NVIDIA RTX 3060,15.6,1920 x 1080,8,16,74,115990,NVIDIA,Dedicated,6,RTX,INTEL,CORE I7,11,OTHER
Lenovo IdeaPad Gaming 3 15IAH7 82S900KQIN Laptop,Lenovo,12th Gen Core i5,16,512,0,Windows,4 GB NVIDIA RTX 3050,15.6,1920 x 1080,8,12,74,89990,NVIDIA,Dedicated,4,RTX,INTEL,CORE I5,12,OTHER
Lenovo IdeaPad Gaming 3 15IHU6 82K101EDIN Laptop,Lenovo,11th Gen Core i5,8,512,0,Windows,4 GB NVIDIA RTX 3050,15.6,1920 x 1080,4,8,68,69500,NVIDIA,Dedicated,4,RTX,INTEL,CORE I5,11,OTHER
Dell Latitude 3520 Laptop,Dell,11th Gen Core i3,8,256,0,Ubuntu,INTEL UHD,15.6,1366 x 768,2,4,42,38700,INTEL,Integrated,0,UHD,INTEL,CORE I3,11,OTHER
Honor MagicBook X15 BohrBR-WAH9F Laptop,Honor,10th Gen Core i5,8,256,0,Windows,INTEL UHD,15.6,1920 x 1080,4,8,57,67318,INTEL,Integrated,0,UHD,INTEL,CORE I5,10,OTHER
Dell Vostro 3510 2022 Laptop,Dell,11th Gen Core i3,8,512,0,Windows,INTEL UHD,15.6,1920 x 1080,2,4,51,46300,INTEL,Integrated,0,UHD,INTEL,CORE I3,11,OTHER
HP ProBook 450 G8 4Y7G3PA Laptop,HP,11th Gen Core i3,8,256,0,Windows,INTEL UHD,15.6,1366 x 768,2,4,61,48500,INTEL,Integrated,0,UHD,INTEL,CORE I3,11,OTHER
Dell Vostro 3510 2022 Laptop,Dell,11th Gen Core i3,16,512,1000,Windows,INTEL UHD,15.6,1920 x 1080,2,4,57,53100,INTEL,Integrated,0,UHD,INTEL,CORE I3,11,OTHER
Lenovo ThinkBook 14 20VDA0QTIH Laptop,Lenovo,11th Gen Core i5,8,512,0,DOS,INTEL UHD,14.0,1920 x 1080,4,8,55,60100,INTEL,Integrated,0,UHD,INTEL,CORE I5,11,OTHER
Dell Vostro 3510 2022 Laptop,Dell,11th Gen Core i3,16,512,0,Windows,INTEL UHD,15.6,1920 x 1080,2,4,54,49800,INTEL,Integrated,0,UHD,INTEL,CORE I3,11,OTHER
Dell Latitude 3420 Laptop,Dell,11th Gen Core i3,16,512,0,Ubuntu,INTEL UHD,14.0,1366 x 768,2,4,55,69500,INTEL,Integrated,0,UHD,INTEL,CORE I3,11,OTHER
Fujitsu UH-X 4ZR1J37875 Laptop,Fujitsu,12th Gen Core i5,16,512,0,Windows,INTEL IRIS XE,13.3,1920 x 1080,10,12,68,89990,INTEL,Integrated,0,IRIS XE,INTEL,CORE I5,12,OTHER
Dell Latitude 3420 2022 Laptop,Dell,11th Gen Core i5,16,1000,0,Windows,INTEL UHD,14.0,1920 x 1080,4,8,68,102999,INTEL,Integrated,0,UHD,INTEL,CORE I5,11,OTHER
Fujitsu UH-X 4ZR1J37876 Laptop,Fujitsu,12th Gen Core i7,16,512,0,Windows,INTEL IRIS XE,13.3,1920 x 1080,10,12,69,99990,INTEL,Integrated,0,IRIS XE,INTEL,CORE I7,12,OTHER
Acer TravelMate TMB311-31 Laptop,Acer,Intel Pentium N5030,4,128,0,Windows,UHD 600,11.6,1366 x 768,4,4,49,24990,OTHER,Integrated,0,UHD,INTEL,PENTIUM,0,OTHER
Lenovo IdeaPad Flex 5 81X10087IN Laptop,Lenovo,10th Gen Core i3,8,512,0,Windows,INTEL INTEGRATED IRIS XE,14.0,1920 x 1080,2,4,65,66000,INTEL,Integrated,0,IRIS XE,INTEL,CORE I3,10,OTHER
Lenovo ThinkPad E15 20TDS0TA00 Laptop,Lenovo,11th Gen Core i5,8,512,0,Windows,INTEL INTEGRATED UHD,15.6,1920 x 1080,4,8,60,71300,INTEL,Integrated,0,UHD,INTEL,CORE I5,11,OTHER
HP 250 G8 6X4B3PA Laptop,HP,11th Gen Core i3,8,512,0,Windows,INTEL UHD,15.6,1366 x 768,2,4,45,36499,INTEL,Integrated,0,UHD,INTEL,CORE I3,11,OTHER
Dell Vostro 5320 Laptop,Dell,12th Gen Core i5,16,512,0,Windows,INTEL INTEGRATED UMA,13.3,2560 x 1600,12,16,54,78990,INTEL,Integrated,0,OTHER,INTEL,CORE I5,12,OTHER
